A,2277.81
D,803.37
A,2278.03
D,803.05
C,166.77
A,2277.78
D,803.34
C,221.63
A,2277.90
B,217.73
B,387.95
D,802.95
C,289.67
A,2277.81
A,129.56
B,246.89
D,803.01
C,297.84
A,358.59
B,320.48
D,803.02
C,368.95
A,2276.94
B,386.47
D,803.19
C,573.50
A,234.64
A,2280.62
B,709.39
B,1105.94
B,486.58
D,803.03
C,674.36
C,506.50
C,160.47
C,216.21
A,425.99
B,833.72
B,1427.21
D,372.89
D,804.59
C,1261.96
C,203.74
A,321.86
B,2061.46
B,832.54
B,368.09
D,803.52
C,1892.76
C,285.90
C,217.31
A,791.67
B,3028.96
B,212.56
D,504.91
D,803.38
C,288.61
C,3212.13
A,1082.63
A,731.98
B,299.37
B,3849.03
D,864.88
D,515.81
D,803.99
D,583.11
C,356.27
C,4168.35
A,840.86
A,1331.89
B,407.23
B,4049.60
B,2637.46
D,520.58
D,1013.47
D,804.80
C,524.53
C,4300.76
A,1611.18
A,1020.70
B,4054.86
B,930.33
D,788.76
D,551.36
D,184.85
D,804.50
C,758.04
C,4194.84
C,168.78
A,438.51
A,1843.02
A,1115.44
B,618.16
B,4082.65
D,448.91
D,864.90
D,806.81
C,4312.86
C,1048.51
C,197.60
A,328.26
A,2075.19
B,4013.43
B,922.22
B,411.80
D,806.66
C,4349.57
C,1437.65
C,294.79
A,529.22
A,2440.19
B,6358.67
D,730.11
D,804.70
C,6794.08
C,298.07
A,680.80
A,2861.61
A,1008.95
B,298.47
B,3550.71
B,5297.66
D,483.26
D,3095.49
D,804.36
C,340.74
C,7107.92
A,3459.62
A,1214.29
A,804.39
B,414.73
B,3369.27
B,5229.06
D,630.67
D,2532.23
D,804.94
C,649.03
C,7352.36
C,473.48
A,836.28
A,3791.50
A,1390.88
A,327.79
B,3585.57
B,5140.45
B,529.53
D,805.17
C,635.64
C,7235.50
C,152.53
A,939.87
A,1512.04
A,4115.97
A,595.67
A,400.51
B,720.86
B,3504.79
B,5054.42
D,392.37
D,807.72
C,7273.11
C,963.90
C,200.91
A,4589.77
A,331.96
A,1583.48
A,1050.59
B,3658.85
B,286.36
B,871.16
D,806.47
D,5845.10
C,8619.76
C,268.26
A,5048.62
A,605.72
A,1623.52
A,994.85
B,4087.33
B,5646.67
D,805.27
D,721.42
C,9277.93
C,277.10
A,5686.19
A,3069.07
A,712.41
B,265.95
B,3960.39
B,5804.48
D,805.17
D,8133.12
C,332.46
C,8935.87
A,5291.51
A,2944.56
A,712.33
A,202.67
B,343.43
B,3884.04
B,5508.79
D,805.11
C,636.89
C,9029.23
C,441.00
A,3610.24
A,3226.10
B,3895.27
B,590.77
B,6310.54
B,405.55
D,804.58
C,8887.58
C,542.04
C,171.69
A,3806.71
A,3445.27
A,951.67
A,464.79
B,601.86
B,3917.95
B,5284.25
D,414.13
D,6808.73
D,807.63
C,11461.78
C,196.14
A,4853.17
A,331.96
A,2366.87
A,1316.37
A,782.27
B,4335.81
B,6065.45
B,247.86
B,624.35
D,805.74
D,9122.64
C,10620.82
C,296.57
A,6124.84
A,1879.30
A,3004.06
B,4146.58
B,6344.16
D,8930.67
D,805.15
C,310.98
C,10643.82
A,8017.39
A,3602.86
A,1834.86
B,4079.76
B,279.43
B,6084.86
D,7361.56
D,806.10
C,10626.83
C,349.64
A,9458.57
A,3593.94
A,2143.59
B,336.88
B,4150.82
B,6024.23
D,7636.41
D,805.52
C,498.86
C,10627.86
A,3666.18
A,2265.06
A,12249.65
B,4045.24
B,400.94
B,5658.57
D,7429.28
D,805.55
D,166.22
C,10524.40
C,587.58
C,173.19
A,3661.02
A,11430.98
A,1985.08
A,554.10
A,335.14
A,1219.63
B,3601.48
B,4848.17
D,7277.73
D,807.62
D,402.61
C,12343.17
C,579.79
C,208.92
A,9395.31
A,3651.94
A,2659.53
A,1135.95
B,3780.96
B,216.90
B,4895.83
D,806.73
D,8808.99
C,11875.76
C,266.65
A,5563.06
A,3792.35
A,2421.85
A,1002.44
B,3810.59
B,4183.09
D,8331.64
D,805.92
C,11849.63
C,320.79
A,4199.04
A,4071.49
A,2739.78
B,251.68
B,4030.08
B,663.22
B,3715.90
B,4961.63
D,9174.32
D,805.97
C,11734.91
C,353.56
A,4727.57
A,817.32
A,1383.03
A,802.29
A,3070.69
A,198.43
A,583.30
B,3713.06
B,4809.51
D,8566.10
D,806.38
C,11775.03
C,405.50
A,5313.30
A,1757.01
A,869.48
A,651.72
B,3647.02
B,4828.98
D,7931.63
D,805.97
C,13370.20
C,173.11
A,5782.77
A,1880.47
A,622.16
B,3705.78
B,1196.04
D,808.30
D,8942.15
C,13314.40
C,204.06
A,1954.76
A,5136.36
A,986.59
A,1010.96
A,514.80
B,3563.84
D,8927.40
D,806.02
C,13446.56
A,3623.18
A,2102.76
A,2593.94
A,1293.60
B,3683.18
B,4857.40
D,7777.79
D,805.84
C,14144.03
C,9446.96
A,4130.24
A,2394.00
A,1808.78
B,3672.91
B,4783.70
D,8185.09
D,806.00
C,14700.16
C,8811.04
A,2680.48
A,4466.38
A,1952.10
A,623.64
A,423.93
A,699.69
B,3577.83
D,807.49
D,8861.62
C,14820.77
A,3373.35
A,5581.38
A,2714.48
B,3688.14
B,5143.16
D,9178.93
D,806.81
C,14788.97
C,8697.04
C,3874.90
A,5666.83
A,3573.79
B,3695.16
B,5419.35
D,8699.89
D,807.95
C,14752.34
C,9761.91
C,4253.86
A,6408.09
A,3568.54
A,634.95
B,3833.52
B,5779.83
B,5049.19
D,8577.14
D,808.55
C,14674.17
C,6427.23
C,4064.30
A,5174.84
A,3600.33
A,1821.86
A,328.23
A,364.73
A,375.64
B,3880.14
B,5711.40
D,8655.94
D,806.34
C,15418.93
C,6845.72
C,4397.76
A,4619.74
A,3534.98
B,4112.03
B,6612.86
D,8799.74
D,806.65
C,15673.49
C,5939.15
A,3831.82
A,2470.51
A,1476.87
A,711.93
B,4050.16
B,6536.43
D,9085.84
D,807.06
C,15671.06
C,5134.43
C,8205.73
A,1237.89
A,4150.17
A,513.74
B,4125.54
B,5695.05
D,807.86
D,9766.30
C,15759.91
C,6368.59
A,4433.28
A,178.81
A,826.79
A,3849.62
B,4030.73
B,3020.90
B,5831.40
D,808.59
D,9411.80
C,15160.67
C,7331.77
C,3976.07
A,4875.48
A,1592.33
A,3329.98
B,4298.91
B,2698.48
B,6586.96
D,8922.05
D,808.79
C,15512.59
C,5405.05
C,8535.85
A,5447.58
A,1621.27
A,3776.38
A,1078.90
B,4287.68
B,6602.85
D,808.74
C,15410.10
C,5243.13
C,7527.99
A,5948.11
A,1746.96
B,4325.71
B,6429.32
D,809.32
C,15621.04
C,5154.81
A,6770.83
A,1916.65
B,4339.46
B,6145.96
B,2017.98
D,808.59
D,9913.81
C,15445.17
C,5185.52
A,3439.55
A,1810.35
A,1977.46
B,4298.32
B,5928.61
B,1970.97
D,808.67
D,10004.95
C,15466.06
C,5187.55
A,4216.61
A,2260.25
B,4307.35
B,5951.18
B,1767.08
D,9442.24
D,809.31
C,15510.65
C,1210.77
C,5175.30
C,129.61
A,2670.19
A,5521.40
A,909.84
B,4308.88
B,5950.51
B,1733.01
B,967.65
D,808.38
C,15448.94
C,2951.73
C,5136.39
A,3056.65
A,4554.97
A,686.05
B,4300.87
B,5896.32
D,808.17
C,15486.93
C,3872.10
C,1327.69
C,5314.64
A,6370.03
A,3571.05
A,3766.62
A,970.78
B,3860.29
B,3503.99
B,1483.18
D,808.30
D,9896.22
C,15932.11
C,5070.93
C,624.87
